# OLD VERSION<tab>OLD RETURN<tab>OLD NAME<tab>OLD ARGS<tab>NEW VERSION<tab>NEW RETURN<tab>NEW NAME<tab>NEW ARGS<tab>NOTES
# OLD VERSION<tab>type<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
# OLD VERSION<tab>enum<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
#
# Functions
#
0.9.28	-	-	-	0.9.29	char*	rasqal_xsd_date_to_counted_string	(const rasqal_xsd_date *d, size_t *len_p)	-
0.9.28	-	-	-	0.9.29	char*	rasqal_xsd_date_to_string	(const rasqal_xsd_date *d)	-
0.9.28	-	-	-	0.9.29	int	rasqal_xsd_date_equals	(const rasqal_xsd_date *d1, const rasqal_xsd_date *d2, int *incomparible_p)	-
0.9.28	-	-	-	0.9.29	int	rasqal_xsd_date_compare	(const rasqal_xsd_date *d1, const rasqal_xsd_date *d2, int *incomparible_p)	-
0.9.28	-	-	-	0.9.29	rasqal_xsd_datetime*	rasqal_new_xsd_datetime_from_xsd_date	(rasqal_world* world, rasqal_xsd_date *date)	-
0.9.28	-	-	-	0.9.29	int	rasqal_xsd_datetime_compare2	(const rasqal_xsd_datetime *dt1, const rasqal_xsd_datetime *dt2, int *incomparible_p)	-
0.9.28	-	-	-	0.9.29	int	rasqal_xsd_datetime_equals2	(const rasqal_xsd_datetime *dt1, const rasqal_xsd_datetime *dt2, int *incomparible_p)	-
0.9.28	-	-	-	0.9.29	int	rasqal_query_graph_pattern_visit2	(rasqal_query* query, rasqal_graph_pattern_visit_fn visit_fn, void* data)	-
0.9.28	-	-	-	0.9.29	char*	rasqal_regex_replace	(rasqal_world* world, raptor_locator* locator, const char* pattern, const char* regex_flags, const char* subject, size_t subject_len, const char* replace, size_t replace_len, size_t* result_len_p)	-
0.9.29	-	-	-	0.9.30	rasqal_literal*	rasqal_new_floating_literal	(rasqal_world *world, rasqal_literal_type type, double d)	-
0.9.30	-	-	-	0.9.31	const char*	rasqal_query_results_type_label	(rasqal_query_results_type type)	-
0.9.32	-	-	-	0.9.33	int	rasqal_variables_table_add2	(rasqal_variables_table* vt, rasqal_variable_type type, const unsigned char *name, size_t name_len, rasqal_literal *value)	Deprecates rasqal_variables_table_add()
0.9.32	-	-	-	0.9.33	rasqal_query_results*	rasqal_new_query_results_from_string	(rasqal_world* world, rasqal_query_results_type type, raptor_uri* base_uri, const char* string, size_t string_len)	-
0.9.32	int	rasqal_query_results_formats_check	(rasqal_world* world, const char *name, raptor_uri* uri, const char *mime_type, int flags)	0.9.33	int	rasqal_query_results_formats_check2	(rasqal_world* world, const char *name, raptor_uri* uri, const char *mime_type, int flags)	Correctly implements return value: non-0 if exists.
0.9.32	-	-	-	0.9.33	raptor_sequence*	rasqal_graph_pattern_get_triples	(rasqal_query* query, rasqal_graph_pattern* graph_pattern)	-
0.9.32	rasqal_query_results*	rasqal_new_query_results	(rasqal_world* world, rasqal_query* query, rasqal_query_results_type type, rasqal_variables_table* vars_table)	0.9.33	rasqal_query_results*	rasqal_new_query_results2	(rasqal_world* world, rasqal_query* query, rasqal_query_results_type type)	Deprecates rasqal_new_query_results()
0.9.32	-	-	-	0.9.33	rasqal_literal_type	rasqal_literal_get_type	(rasqal_literal* l)	-
0.9.32	-	-	-	0.9.33	char*	rasqal_literal_get_language	(rasqal_literal* l)	-
0.9.32	-	-	-	0.9.33	int	rasqal_literal_is_rdf_literal	(rasqal_literal* l)	-
0.9.32	rasqal_data_graph*	rasqal_new_data_graph_from_uri	(rasqal_world* world, raptor_uri* uri, raptor_uri* name_uri, int flags, const char* format_type, const char* format_name, raptor_uri* format_uri)	0.9.33	rasqal_data_graph*	rasqal_new_data_graph_from_uri	(rasqal_world* world, raptor_uri* uri, raptor_uri* name_uri, unsigned int flags, const char* format_type, const char* format_name, raptor_uri* format_uri)	Made flags argument unsigned
0.9.32	rasqal_expression*	rasqal_new_group_concat_expression	(rasqal_world* world, int flags, raptor_sequence* args, rasqal_literal* separator)	0.9.33	rasqal_expression*	rasqal_new_group_concat_expression	(rasqal_world* world, unsigned int flags, raptor_sequence* args, rasqal_literal* separator)	Made flags argument unsigned
#
# Types
#
0.9.21	type	rasqal_generate_bnodeid_handler2	-	0.9.22	type	rasqal_generate_bnodeid_handler	-	Handler now takes a pointer to the #rasqal_world object not #rasqal_query.
0.9.21	type	rasqal_data_graph	-	0.9.22	type	rasqal_data_graph	-	Added const for format_type and format_name fields.
0.9.21	type	-	-	0.9.22	type	rasqal_xsd_datetime	-	-
0.9.21	type	rasqal_literal	-	0.9.22	type	rasqal_literal	-	Added datetime to value union.
0.9.23	type	-	-	0.9.24	type	rasqal_update_graph_applies	-	Specifies scope that a #rasqal_update applies to
0.9.24	type	-	-	0.9.25	type	rasqal_evaluation_context	-	Evaluation context for rasqal_expression_evaluate2()
0.9.28	type	-	-	0.9.29	type	rasqal_xsd_date	-	-
0.9.28	type	rasqal_literal	-	0.9.29	type	rasqal_literal	-	Added date to value union.
0.9.28	type	rasqal_xsd_datetime	-	0.9.29	type	rasqal_xsd_datetime	-	Added time_on_timeline and have_tz fields.
0.9.32	type	rasqal_triples_source_factory	-	0.9.33	type	rasqal_triples_source_factory	-	API v3: Added init_triples_source2 handler field using #rasqal_triples_error_handler2
0.9.32	type	-	-	0.9.33	type	rasqal_triples_error_handler2	-	Added for rasqal_variables_table_add2()
#
# Enums
#
#0.9.21	enum	oldenumvalueor-	-	0.9.22	enum	newenumvalueor-	-	Note
0.9.21	enum	-	-	0.9.22	enum	RASQAL_XSD_DATETIME_NO_TZ	-	Sentinel XSD Decimal timezone value indicating no timezone is present.
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_YEAR	-	Expression for SPARQL 1.1 YEAR(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_MONTH	-	Expression for SPARQL 1.1 MONTH(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_DAY	-	Expression for SPARQL 1.1 DAY(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_HOURS	-	Expression for SPARQL 1.1 HOURS(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_MINUTES	-	Expression for SPARQL 1.1 MINUTES(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_SECONDS	-	Expression for SPARQL 1.1 SECONDS(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_TIMEZONE	-	Expression for SPARQL 1.1 TIMEZONE(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_CURRENT_DATETIME	-	Expression for LAQRS CURRENT_DATETIME( void )
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_NOW	-	Expression for LAQRS NOW( void )
